"id","junction_name","latitude","longitude"
0,"DE SOTO AV  AT  OXNARD  ST",34.1792562578955,-118.59047873659077
1,"CANOGA AV AT VANOWEN ST",34.18834537329447,-118.59747110546994
2,"LANFRANCO  ST  AT  LORENA  ST",34.03165357906271,-118.19850889824447
3,"CRENSHAW BL AT 36th ST",34.025586946373316,-118.33511116856756
4,"SLAUSON  AV  AT  NORMANDIE  AV",33.98911205158549,-118.2980275015024
5,"ANAHEIM ST AT FRIES  AV",33.77990869314322,-118.2637400522642
6,"FULTON  AV  AT  OXNARD  ST",34.179406259563635,-118.42252708627817
7,"FOUNTAIN  AV  AT  VIRGIL  AV",34.095739886798974,-118.28673434818447
8,"WOODLAKE  AV   AT   BURBANK  BL",34.171909967226455,-118.63205852433649
9,"MOORPARK ST AT  CAHUENGA BL",34.150382474649966,-118.36148475510643
10,"MOORPARK ST  AT  LANKERSHIM BL",34.15037912187503,-118.36364539503406
11,"SEPULVEDA  BL  AT  IMPERIAL  HWY",33.9310742647768,-118.39616874745379
12,"FLORENCE AV AT VERMONT AV",33.974634247860855,-118.28925598117634
13,"CULVER  BL  AT  INGLEWOOD  BL",33.99622336000842,-118.41665414255026
14,"HESBY  ST  AT  MORELLA  AV",34.162163764628765,-118.38998839664778
15,"EAGLE ROCK BL AT RIDGEVIEW AV",34.13030088077554,-118.21663942448124
16,"FOUNTAIN AV AT SYCAMORE AV",34.09433385536585,-118.34283017009425
17,"5th ST AT VAN NESS AV",34.06533020358195,-118.31407444778637
18,"103RD  ST  AT  GRANDEE  AV",33.94322795698209,-118.24349900944235
19,"103RD  ST  AT  SAN  PEDRO  ST",33.94285570399303,-118.2695284931101
20,"SHERMAN WAY  AT  WOODMAN  AV",34.20119536229165,-118.42804235431039
21,"WOODMAN AV S/O SHERMAN WAY",34.19935257984543,-118.43126911147172
22,"SATSUMA  AV  AT  KITTRIDGE  ST",34.19032257491863,-118.3670632117996
23,"VANOWEN ST AT TUJUNGA AV",34.1939427256389,-118.37905824082644
24,"LANARK ST AT LEDGE AV",34.217295850014814,-118.35756504936298
25,"LAURELVALE  DR  AT  CANTON  DR",34.1329884049303,-118.38647774079116
26,"LINDO ST AT LA FALDA PL",34.130271502852445,-118.34139800179884
27,"LONG BEACH  AV  AT  20TH  ST",34.01879626691764,-118.24319810227216
28,"NORMANDIE  AV  AT  OLYMPIC  BL",34.05325805450543,-118.3002721671008
29,"OLYMPIC  BL  AT  NORMANDIE  AV",34.05262882527261,-118.30002804562514
30,"CREWE ST W/O BABCOCK AV",34.196724316209384,-118.40734764871263
31,"SHERMAN WAY AT TUJUNGA AVE",34.20120238975396,-118.37905766097474
32,"RADFORD AV AT HART ST",34.197570974562005,-118.39215881221311
33,"WOODMAN  AV  AT  ROSCOE  BL",34.219620632883306,-118.43193372420667
34,"FRIAR ST AT NOBLE AV",34.185671192191144,-118.45745898672347
35,"WOODBRIDGE ST AT LEDGE AV",34.14854279452992,-118.35498887393393
36,"HART  ST  AT  CANTALOUPE  AV",34.19756568796909,-118.43449972703034
37,"CAMROSE  DR  AT  HIGHLAND  AV",34.10823764128012,-118.33708363572511
38,"RIMPAU  BL  AT  21ST  ST",34.0385296000187,-118.34391409488045
39,"CANOGA  AV  AT  OXNARD  ST",34.179247716695116,-118.59737312427006
40,"23rd ST W/O FIGUEROA WAY",34.03076651977306,-118.27435157332867
41,"54TH  ST  AT  FIGUEROA  ST",33.993294077638616,-118.28268289404244
42,"UNION  AV  AT  OLYMPIC  BL",34.050839115434876,-118.2731573618748
43,"EDGEWOOD  PL  AT  HUDSON  AV",34.05498957474685,-118.33578090923064
44,"VERNON  AV  AT  FIGUEROA  ST",34.00376190946989,-118.2827146339211
45,"CARDIFF  AV  AT  ALCOTT  ST",34.05526074713457,-118.39210280788565
46,"GRANDE VISTA AV S/O PICO BL",34.01798060272942,-118.21000758483584
47,"2ND  ST  E/O  LOS  ANGELES  ST",34.050277929938275,-118.2433518557467
48,"BEAUDRY  AV  AT  4TH  ST",34.055615969794644,-118.25745962421665
49,"OLYMPIC  BL  AT  NORMANDIE  AV",34.05263409641216,-118.29894659499875
50,"CAHUENGA BL AT MOORPARK ST",34.14961232134251,-118.36148018543693
51,"DILLING ST AT TROOST AV",34.14324204991492,-118.38334691758793
52,"CAHUENGA BL AT CAMARILLO ST",34.157664405951714,-118.36152544075365
53,"ROSCOE  BL  AT  HAZELTINE  AV",34.22164691657477,-118.43665023257324
54,"MAGNOLIA BL AT HAYVENHURST AV",34.16492812534492,-118.4923690659825
55,"SYLVAN ST AT LEMONA AV",34.184846095871144,-118.45863683303313
56,"ORION  AV  AT  VICTORY  BL",34.1866515882731,-118.47055882656187
57,"IMPERIAL HWY AT PERSHING DR",33.93099903784086,-118.42919596904899
58,"MARENGO  ST  AT  CORNWELL  ST",34.05558849808975,-118.20503720500997
59,"COMPTON  AV  AT  42ND  ST",34.006773226336286,-118.24740991900705
60,"VERNON AV AT BROADWAY",34.003832499572034,-118.27399027969784
61,"ANAHEIM  ST   AT   FLINT  AV",33.780680147275866,-118.2494325875976
62,"OLYMPIC  BL   AT   MAPLE  AV",34.038318561795855,-118.25401499008505
63,"SATURN  ST   AT   ORANGE  GROVE  AV",34.049283653301096,-118.36500440758716
64,"LA CIENEGA  BL  AT  PICKFORD  ST",34.04989274357831,-118.37614635993522
65,"HOLT  AV  AT  18TH  ST",34.04513360236281,-118.38000392832325
66,"WILSHIRE  BL  AT  UNION  AV",34.0545858103886,-118.2683824615161
67,"12TH  ST  E/O  ALVARADO  ST",34.04828341420009,-118.2806109763403
68,"OAK VIEW  DR AT  EMPRESS AV",34.15102768517698,-118.50438105717103
69,"KESTER  AV  AT  AETNA  ST",34.17938989658587,-118.45745409068107
70,"OXNARD ST AT KESTER AV",34.179392421661824,-118.4530880651725
71,"ROSCOE  BL  AT  DEERING  AV",34.21983363895671,-118.59507307300807
72,"SHARP AV AT FOX ST",34.26963277784484,-118.44881378376846
73,"HAYVENHURST AV AT MAGNOLIA BL",34.163567399406084,-118.49236749201651
74,"KITTRIDGE  ST  AT  VALJEAN  AV",34.190281851934124,-118.48366103221981
75,"VICTORY  BL  AT  BALBOA  BL",34.18663352134427,-118.49915581371563
76,"OTSEGO ST AT HAYVENHURST AV",34.16262656883512,-118.49106989947377
77,"VASSAR  AV  AT  GAULT  ST",34.19919858682212,-118.6044028696978
78,"DURANGO AV S/O SAWYER ST",34.04530210771382,-118.3890481699667
79,"BERENDO  ST  N/O  VENICE  BL",34.04542451453495,-118.29357770309005
80,"LA  BREA  AV  AT  8TH  ST",34.06052728837166,-118.34467353700464
81,"8TH  ST  AT  COLUMBIA  AV",34.05024619350424,-118.26906201955323
82,"FLOWER  ST  N/O  9TH  ST",34.047260650335716,-118.26011326264923
83,"3RD  ST  AT  FRESNO  ST",34.036974693355575,-118.20126686524236
84,"4TH  ST  W/O  BROADWAY",34.04952543115594,-118.24937143598133
85,"12TH  ST  AT  SAN  JULIAN  ST",34.03436690292945,-118.25435881440374
86,"MECCA  AV  AT  LINNET  ST",34.16425530721402,-118.53752206065532
87,"VENTURA  BL  E/O  RESEDA  BL",34.168590086461116,-118.53554944316026
88,"INDEX  ST  AT  HASKELL AV",34.275481163117476,-118.47492074966127
89,"GAVIOTA AV  S/O LEADWELL ST",34.20299884623036,-118.48149123809561
90,"DE CELIS PL AT HART ST",34.19752828358069,-118.49458318160067
91,"TITUS  ST  E/O  TILDEN  AV",34.219740838558096,-118.44676582761367
92,"KESTER  AV  AT  BURBANK  BL",34.17029855616728,-118.45744641106891
93,"WATERVIEW ST AT TRASK AV",33.95197760212807,-118.4441385709396
94,"WILL ROGERS  ST AT  CROYDON AV",33.95659503053692,-118.38966167371119
95,"FALMOUTH  AV  AT  92ND  ST",33.95476414598838,-118.43463252257173
96,"LOS ANGELES ST W/O ALAMEDA ST",34.056596910436014,-118.23808317306403
97,"PACIFIC  AV N/O 12TH ST",33.734226481006104,-118.28793606733629
98,"13th ST AT PATTON AV",33.73247062826144,-118.304491693655
99,"VINE  ST   AT   HOLLYWOOD  BL",34.09979727671575,-118.32667988075082
100,"MURIETTA AV AT HATTERAS ST",34.175754900948235,-118.43885620112967
101,"DE LONGPRE AV AT LA BREA AV",34.09615514641382,-118.34284226735438
102,"LASSEN  ST  W/O  ORION  AV",34.2500711084246,-118.47182156545917
103,"OWENSMOUTH  AT  MINNEHAHA ST",34.25959881685691,-118.60169563299425
104,"WATSON AV AT I ST",33.780786894805466,-118.24744470883118
105,"FLORENCE  AV  AT  AVALON  BL",33.97472969895303,-118.26736009492527
106,"92ND  ST  E/O  WESTERN  AV",33.95271704848784,-118.30786346783935
107,"92ND  ST  E/O  FALMOUTH  AV",33.95293193396632,-118.4318393298694
108,"85th ST   AT  RAYFORD DR",33.96065268659196,-118.42242399122674
109,"79TH  ST  AT  OSAGE  AV",33.96624197877195,-118.3787231045052
110,"RAMSGATE  AV E/O  THORNBURN ST",33.97308767526581,-118.37314425651962
111,"SLAUSON  AV  AT  ANGELES VISTA BL",33.98889377248027,-118.35004916742848
112,"39TH  PL  AT  ST  ANDREWS  PL",34.01371965731429,-118.30891855977528
113,"24TH  ST  AT  GRIFFITH  AV",34.02241573219599,-118.25833113038192
114,"52ND  ST  AT  WESTERN  AV",33.99507910524776,-118.3089387409687
115,"OLYMPIC  BL  AT  LA  CIENEGA  BL",34.0594945558995,-118.37578959890183
116,"ROBERTSON  BL  AT  GUTHRIE  AV",34.04228678756053,-118.38731003564408
117,"WETHERLY DR AT WHITWORTH DR",34.057092503887446,-118.38881793849323
118,"PACKARD  ST  E/O  LA CIENEGA  BL",34.05510422823841,-118.37500049309475
119,"CREST  DR  AT  PICKFORD  ST",34.05245445994677,-118.38746997452226
120,"53RD  ST  AT  COMPTON  AV",33.99483806239026,-118.24994230000564
121,"WILTON  PL  AT  SAN  MARINO  ST",34.05585448377068,-118.31425981126563
122,"BEAUDRY  AV  AT  2ND  ST",34.059157800003184,-118.25421459237555
123,"QUEEN ANNE PL  AT 12th ST",34.051606554014924,-118.33137735530072
124,"READING AV  AT  INTERCEPTOR ST",33.95523600819315,-118.38159018109202
125,"WEST  BL  N/O  SLAUSON  AV",33.98898265222169,-118.33519701007134
126,"CROCKER  ST  AT  87TH  PL",33.960120834048745,-118.26805171545827
127,"ASCOT AV AT 55th ST",33.99301868703834,-118.24993916333307
128,"CENTURY  BL  AT  CENTRAL  AV",33.94567686271539,-118.25646600250833
129,"NEPTUNE  AV  AT  SANDISON  ST",33.7908250068709,-118.26970718579541
130,"EUBANK  AV  AT  G  ST",33.77749978611835,-118.25440827558545
131,"DON ST AT FRIGATE AV",33.79776118993936,-118.27527607464005
132,"CLUB VIEW  DR  AT  COMSTOCK  AV",34.07302252243373,-118.42927934402998
133,"BEVERLY GLEN  BL  AT  WILSHIRE  BL",34.06883112016246,-118.43009545034197
134,"LONG BEACH  AV  AT  55TH  ST",33.9938244509698,-118.24318415539268
135,"BROADWAY  N/O  SLAUSON  AV",33.98917120712863,-118.27829981575078
136,"PELHAM  AV  AT  LA  GRANGE  AV",34.049348287759074,-118.42970875631939
137,"3RD  ST  AT  MARTEL  AV",34.06967561969023,-118.34980157209058
138,"GOSHEN  AV  AT  BUNDY  DR",34.04514567154307,-118.4680707966729
139,"CAPRI DR AT CORSICA DR",34.0512883676575,-118.50143992253716
140,"BURLINGAME  AV  AT  MARLBORO  ST",34.05436553848297,-118.49048439816083
141,"2nd ST AT SYCAMORE AV",34.07105330917843,-118.34187452169922
142,"GRIFFITH PARK BL  AT  ST GEORGE  ST",34.10892586451083,-118.2748625307365
143,"TRACY  ST  AT  MYRA  AV",34.10834359846208,-118.28003059191411
144,"HAYWORTH AV AT CLINTON ST",34.08015175859597,-118.36266332936485
145,"CARMELINA  AV  AT  SUNSET  BL",34.05782768040823,-118.4806853205315
146,"ANITA AV AT SANTA CATALINA VIEW",34.05491699645997,-118.4827773754943
147,"SHADY DR   W/O   CARMELINA  AV",34.05369466868543,-118.47948997653249
148,"NEBRASKA  AV  AT  ARMACOST  AV",34.038269756751035,-118.45565033231154
149,"CAMDEN  AV  AT  LA GRANGE  AV",34.04402556124152,-118.43861534212739
150,"COTNER  AV  AT  MISSISSIPPI  AV",34.0407037952967,-118.44055229442324
151,"FIGUEROA  ST  AT  BUENA VISTA TER",34.13183587469069,-118.18913909790031
152,"OHIO  AV  AT  GLENDON  AV",34.05513674112851,-118.43893945473587
153,"BELLWOOD  AV  S/O  OLYMPIC  BL",34.05231900563161,-118.41747055940401
154,"MISSISSIPPI AV  AT  MANNING  AV",34.048448439434594,-118.42759127282477
155,"GLENDON  AV  AT  MISSISSIPPI  AV",34.04580324057995,-118.43201834036311
156,"BEVERLY  DR  AT  FLINT  AV",34.03547242018211,-118.39709141380344
157,"MALCOLM  AV  AT  ROCHESTER  AV",34.05799381576176,-118.43901379125496
158,"BENTLEY  AV  AT  MASSACHUSETTS  AV",34.05088733582995,-118.44583410730299
159,"WEYBURN  AV  E/O  MALCOLM  AV",34.063096445743376,-118.43890554221949
160,"GENEVIEVE  AV  AT  NEOLA  ST",34.13395414781621,-118.18990366255467
161,"ORCHARD AV N/O 149TH ST",33.89682473851106,-118.2875978367859
162,"ST LOUIS ST AT 4th ST",34.042270442851226,-118.2154737849852
163,"WASHINGTON BL AT BRONSON AV",34.0398765530428,-118.32975030053531
164,"WILSHIRE  BL  AT  BEAUDRY  AV",34.051490428515784,-118.26149114634481
165,"OLYMPIC  BL  AT  UNION  AV",34.04919842132113,-118.27419063376757
166,"8TH  ST  E/O  FLOWER  ST",34.0465648096371,-118.25903671030942
167,"CURSON AV AT ADAMS BL",34.033911299684625,-118.36544826560657
168,"8TH  ST  AT  NORMANDIE  AV",34.057718239542616,-118.29872190377588
169,"HOOVER  ST  AT  18TH  ST",34.04283271022364,-118.2841432812656
170,"TOBERMAN ST AT VENICE BL",34.040732269512816,-118.2773657732668
171,"28TH  ST  AT  HOOVER  ST",34.02935045750998,-118.28396472228656
172,"8TH  ST  AT  HAUSER  BL",34.06067557774203,-118.35213804553035
173,"PACKARD  ST  AT  MASSELIN  AV",34.05163711983241,-118.35741909681045
174,"STEARNS  DR  AT  SATURN  ST",34.05066829838538,-118.37154496693634
175,"GARTH  AV  AT AIRDROME  ST",34.04923217163699,-118.3771173871437
176,"SAN  JULIAN  ST  S/O  9TH  ST",34.03804510605011,-118.25115004280802
177,"MEYLER ST AT 19th ST",33.727000791345496,-118.29680536367223
178,"6TH ST W/O OLIVE ST",34.04804316201722,-118.25419194755185
179,"LANARK ST AT SULLY DR",34.21818935112362,-118.34856526500161
180,"CROCKETT ST AT CLYBOURN AV",34.220274370059045,-118.36502979886109
181,"ROSCOE  BL  AT  HAZELTINE  AV",34.221626573060824,-118.4404458485246
182,"WHITSETT  AV  AT  STRATHERN  ST",34.215731304492806,-118.4052643945442
183,"LANKERSHIM  BL  AT  STRATHERN  ST",34.2157166957947,-118.38779323437471
184,"ROMAINE  ST  AT  VINE  ST",34.088930151365076,-118.32663033938465
185,"BERKELEY  AV   AT   WATERLOO  ST",34.084495387979054,-118.26221394072502
186,"MEYLER  ST  AT  9TH  ST",33.73697785842577,-118.29675570046403
187,"ROSSMORE AV S/O BEVERLY BL",34.07303049399152,-118.32736663122516
188,"PAULA ST   AT   HELLMAN AV",34.087219700719054,-118.18659581032118
189,"ROSSMORE AV AT 3 rd ST",34.071611091764815,-118.32736027779049
190,"BELMONT  AV  AT  BEVERLY  BL",34.06342007538448,-118.26307512097216
191,"EL CONTENTO DR  AT  QUEBEC  DR",34.11117788555012,-118.32675447267523
192,"SUNNYSLOPE  AV AT COLLINS ST",34.17394602710751,-118.42688921894073
193,"SALE  AV  S/O  VENTURA  BL",34.166553664422565,-118.61837262881077
194,"AGNES AV AT KITTRIDGE ST",34.18849496148918,-118.3953993331876
195,"SHOUP  AV  AT  VENTURA  BL",34.168769718380595,-118.61458712726696
196,"ROYER  AV  S/O  VICTORY  BL",34.18544108410324,-118.62773296235387
197,"FALLBROOK  AV  AT  OXNARD  ST",34.17736968030695,-118.6233436538961
198,"WHITSETT  AV  AT  MAGNOLIA  BL",34.16487739210067,-118.40525653989454
199,"EILAT  ST  AT  ROD  AV",34.177431473112144,-118.66298951326222
200,"SYLVAN   ST AT SIMPSON AV",34.18486529304275,-118.38888078361367
201,"TUJUNGA  AV  S/O  SHERMAN  WAY",34.195192230303206,-118.3790581416371
202,"CARTWRIGHT  AV   AT   MAGNOLIA  BL",34.16309709541259,-118.36372352341213
203,"LANKERSHIM BL AT VANOWEN ST",34.19212211641452,-118.3877910780367
204,"HAZELTINE AV AT MOORPARK ST",34.149473300598814,-118.43997114324635
