"id","address","latitude","longitude"
0,"1301 N LA BREA AVE",34.0954,-118.344218
1,"1301 N LA BREA AVE",34.095452,-118.344219
2,"1301 N LA BREA AVE",34.095041,-118.344216
3,"1301 N LA BREA AVE",34.095795,-118.34422
4,"1301 N LA BREA AVE",34.095847,-118.344221
5,"1301 N LA BREA AVE",34.095982,-118.344223
6,"1301 N LA BREA AVE",34.095644,-118.34422
7,"7000 W DE LONGPRE AVE",34.096104,-118.343822
8,"7000 W DE LONGPRE AVE",34.096105,-118.343668
9,"7000 W DE LONGPRE AVE",34.096104,-118.343759
10,"1500 N GOWER ST",34.098576,-118.322231
11,"1500 N GOWER ST",34.098655,-118.32223
12,"1500 N GOWER ST",34.098712,-118.322232
13,"1500 N GOWER ST",34.098257,-118.322228
14,"6201 W SUNSET BLVD",34.098118,-118.32565
15,"6201 W SUNSET BLVD",34.098119,-118.32549
16,"6201 W SUNSET BLVD",34.098118,-118.325745
17,"6201 W SUNSET BLVD",34.09812,-118.325424
18,"6201 W SUNSET BLVD",34.098118,-118.325807
19,"1500 N ARGYLE AVE",34.098756,-118.325058
20,"1500 N ARGYLE AVE",34.098682,-118.325056
21,"1500 N ARGYLE AVE",34.098357,-118.325056
22,"1500 N ARGYLE AVE",34.098409,-118.325058
23,"1500 N ARGYLE AVE",34.098626,-118.325056
24,"1500 N ARGYLE AVE",34.098811,-118.325057
25,"6201 W LELAND WAY",34.097103,-118.32585
26,"1401 N IVAR AVE",34.097336,-118.328892
27,"1401 N IVAR AVE",34.096407,-118.328886
28,"1401 N IVAR AVE",34.096773,-118.32889
29,"1401 N IVAR AVE",34.097509,-118.328892
30,"1401 N IVAR AVE",34.09653,-118.328887
31,"1401 N IVAR AVE",34.097641,-118.328893
32,"1401 N IVAR AVE",34.097447,-118.328891
33,"1401 N IVAR AVE",34.096907,-118.328889
34,"1401 N IVAR AVE",34.097716,-118.328893
35,"1401 N IVAR AVE",34.096857,-118.32889
36,"1401 N IVAR AVE",34.097586,-118.328892
37,"1401 N IVAR AVE",34.097388,-118.328892
38,"1401 N IVAR AVE",34.09658,-118.328887
39,"1401 N IVAR AVE",34.096457,-118.328886
40,"1401 N IVAR AVE",34.097769,-118.328893
41,"6500 W SUNSET BLVD",34.097887,-118.33269
42,"6500 W SUNSET BLVD",34.097886,-118.332845
43,"6500 W SUNSET BLVD",34.097886,-118.332944
44,"6500 W SUNSET BLVD",34.097887,-118.332779
45,"6500 W SUNSET BLVD",34.097887,-118.333006
46,"1500 N SCHRADER BLVD",34.098853,-118.332396
47,"1500 N SCHRADER BLVD",34.099186,-118.332398
48,"1500 N SCHRADER BLVD",34.099048,-118.332399
49,"1500 N SCHRADER BLVD",34.099106,-118.332399
50,"1500 N SCHRADER BLVD",34.099615,-118.332403
51,"1500 N SCHRADER BLVD",34.099316,-118.3324
52,"1500 N SCHRADER BLVD",34.099495,-118.332399
53,"1500 N SCHRADER BLVD",34.099242,-118.3324
